Category: All categories

Week,UAL: (United States)
2019-09-08,8
2019-09-15,10
2019-09-22,8
2019-09-29,10
2019-10-06,9
2019-10-13,11
2019-10-20,9
2019-10-27,8
2019-11-03,10
2019-11-10,9
2019-11-17,9
2019-11-24,9
2019-12-01,8
2019-12-08,9
2019-12-15,8
2019-12-22,9
2019-12-29,9
2020-01-05,10
2020-01-12,10
2020-01-19,11
2020-01-26,13
2020-02-02,10
2020-02-09,11
2020-02-16,10
2020-02-23,17
2020-03-01,25
2020-03-08,42
2020-03-15,58
2020-03-22,62
2020-03-29,52
2020-04-05,52
2020-04-12,62
2020-04-19,56
2020-04-26,61
2020-05-03,63
2020-05-10,52
2020-05-17,58
2020-05-24,56
2020-05-31,79
2020-06-07,100
2020-06-14,71
2020-06-21,55
2020-06-28,43
2020-07-05,49
2020-07-12,47
2020-07-19,43
2020-07-26,30
2020-08-02,30
2020-08-09,35
2020-08-16,27
2020-08-23,32
2020-08-30,28
